,hier_family_cd,hier_family_name
0,0103,FIERRO/HIERRO/ACERO
1,0105,OBRA GRUESA
2,0209,HERRAMIENTAS Y MAQUINARIAS
3,0415,ILUMINACION Y VENTILADORES
4,0418,MENAJE
5,0419,DECORACION
6,0427,ORGANIZACION
7,0522,AIRE LIBRE
8,0104,TABIQUERIA/TECHUMBRE/AISLACION
9,0206,PLOMERIA / GASFITERIA
10,0208,ACCESORIOS AUTOMOVILES
11,0210,FERRETERIA
12,0313,BANOS Y COCINAS
13,0328,PUERTAS/VENTANAS/MOLDURAS
14,0417,MUEBLES
15,0625,PROMOCIONES - SOPORTE TECNICO
16,0626,ALQUILER DE HERRAMIENTAS
17,0101,MADERA Y TABLEROS
18,0207,ELECTRICIDAD
19,0211,CASA INTELIGENTE
20,0312,PINTURA Y ACCESORIOS
21,0314,PISOS
22,0316,ELECTROHOGAR
23,0420,ASEO
24,0421,TEMPORADA
25,0523,JARDIN
